id,company_id,move_type,name,ref,src_state,aeat_send_error
25121,1,in_invoice,S/FRA/2025/0462,3.452/F,not_sent,
25130,1,in_invoice,S/FRA/2025/0461,028,not_sent,
25131,1,in_invoice,S/FRA/2025/0460,4,not_sent,
25164,1,in_invoice,S/FRA/2025/0459,AL 25000487,not_sent,
25165,1,in_invoice,S/FRA/2025/0458,18742501P0047089,not_sent,
25166,1,in_invoice,S/FRA/2025/0457,18742501P0103533,not_sent,
25167,1,in_invoice,S/FRA/2025/0456,18742501P0155534,not_sent,
25168,1,in_invoice,S/FRA/2025/0455,A/FA00518,not_sent,
25075,1,in_invoice,S/FRA/2025/0453,33.2025,not_sent,
24939,1,in_invoice,S/FRA/2025/0452,25/306,not_sent,
24955,1,in_invoice,S/FRA/2025/0451,1TSN250700387990,not_sent,
25041,1,in_invoice,S/FRA/2025/0450,A2504996,not_sent,
25056,1,in_invoice,S/FRA/2025/0449,1NSN250800091311,not_sent,
25063,1,in_invoice,S/FRA/2025/0448,ES55EZ2ABEY,not_sent,
25076,1,in_invoice,S/FRA/2025/0447,1NSN250800210678,not_sent,
25077,1,in_invoice,S/FRA/2025/0446,A000032771,not_sent,
25078,1,in_invoice,S/FRA/2025/0445,2025000799,not_sent,
25079,1,in_invoice,S/FRA/2025/0444,FV/2025/0724,not_sent,
25120,1,in_invoice,S/FRA/2025/0442,21250714010352857,not_sent,
25080,1,in_invoice,S/FRA/2025/0441,2025/046,not_sent,
25092,1,in_invoice,S/FRA/2025/0440,ES55H7CABEY,not_sent,
25096,1,in_invoice,S/FRA/2025/0439,ES55EHZABEY,not_sent,
25118,1,in_invoice,S/FRA/2025/0438,25-2025,not_sent,
24935,1,in_invoice,S/FRA/2025/0436,L250034778,not_sent,
24937,1,in_invoice,S/FRA/2025/0435,1NSN250700576009,not_sent,
24938,1,in_invoice,S/FRA/2025/0434,2.207/F,not_sent,
24968,1,in_invoice,S/FRA/2025/0433,2.791/F,not_sent,
24969,1,in_invoice,S/FRA/2025/0432,18742501P0168346,not_sent,
25007,1,in_invoice,S/FRA/2025/0431,FM25-1704,not_sent,
25008,1,in_invoice,S/FRA/2025/0430,AL 25000655,not_sent,
