company_id,move_id,move_type,name,ref,payment_reference,src_state,aeat_send_error,aeat_header_sent,aeat_content_sent
1,14001,entry,BNK1/2023/0123,,,not_sent,,,
1,1634,entry,BNK3/2021/0018,sincronizar en línea,,not_sent,,,
1,17527,entry,EGF/2024/0004,157 5571,,not_sent,,,
1,16799,entry,INM/2023/0062,Software ERP Odoo: Depreciación,,not_sent,,,
1,623,out_invoice,C/2021/0002,C2,C/2021/0002,not_sent,,,
1,20274,entry,BNK4/2024/1173,Combine Datáfono pagos de TPV de POS/00054,,not_sent,,,
1,17674,entry,MISC/2023/0052,Reparto abonos y localidades Temporada 2022/2023,,not_sent,,,
1,20069,entry,MISC/2024/0012,Conciliación,,not_sent,,,
1,20189,entry,BNK4/2024/1131,,,not_sent,,,
1,1652,entry,BNK3/2021/0036,sincronizar en línea,,not_sent,,,
1,9530,entry,BNK2/2022/0571,online sync,,not_sent,,,
1,20814,entry,NOM/2024/0147,Nómina Mayo 2024 - Fijos discontinuos,,not_sent,,,
1,1668,entry,BNK3/2021/0052,sincronizar en línea,,not_sent,,,
1,1671,entry,BNK3/2021/0055,sincronizar en línea,,not_sent,,,
1,1706,entry,BNK3/2021/0090,sincronizar en línea,,not_sent,,,
1,20815,entry,NOM/2024/0148,Nómina Mayo 2024 - Fijos discontinuos,,not_sent,,,
1,20848,entry,NOM/2024/0181,Nómina Septiembre 2024 - Fijo discontinuo,,not_sent,,,
1,1711,entry,BNK3/2021/0095,online sync,,not_sent,,,
1,1712,entry,BNK3/2021/0096,online sync,,not_sent,,,
1,1713,entry,BNK3/2021/0097,online sync,,not_sent,,,
1,17525,entry,EGF/2024/0005,2024000011,,not_sent,,,
1,1714,entry,BNK3/2021/0098,online sync,,not_sent,,,
1,1715,entry,BNK3/2021/0099,online sync,,not_sent,,,
1,1716,entry,BNK3/2021/0100,online sync,,not_sent,,,
1,1721,entry,BNK3/2021/0105,online sync,,not_sent,,,
1,1722,entry,BNK3/2021/0106,online sync,,not_sent,,,
1,21677,entry,BNK3/2024/0190,,,not_sent,,,
1,1723,entry,BNK3/2021/0107,online sync,,not_sent,,,
1,1725,entry,BNK3/2021/0109,online sync,,not_sent,,,
1,1726,entry,BNK3/2021/0110,online sync,,not_sent,,,
1,1728,entry,BNK3/2021/0112,online sync,,not_sent,,,
1,15460,entry,NOM/2023/0155,Nómina Junio 2023 - Artistas,,not_sent,,,
1,16917,entry,/,Mobiliario Nave Olloniego: Depreciación,,not_sent,,,
1,1785,entry,BNK3/2021/0169,online sync,,not_sent,,,
1,1786,entry,BNK3/2021/0170,online sync,,not_sent,,,
1,20188,entry,BNK4/2024/1130,,,not_sent,,,
1,1729,entry,BNK3/2021/0113,online sync,,not_sent,,,
1,1730,entry,BNK3/2021/0114,online sync,,not_sent,,,
1,18518,entry,BNK4/2024/0365,,,not_sent,,,
1,17526,entry,EGF/2024/0012,4 613,,not_sent,,,
1,15171,entry,BNK4/2023/1372,,,not_sent,,,
1,1731,entry,BNK3/2021/0115,online sync,,not_sent,,,
1,1732,entry,BNK3/2021/0116,online sync,,not_sent,,,
1,1733,entry,BNK3/2021/0117,online sync,,not_sent,,,
1,1742,entry,BNK3/2021/0126,online sync,,not_sent,,,
1,17967,entry,CSH1/2023/0105,,,not_sent,,,
1,17965,entry,CSH1/2023/0103,,,not_sent,,,
1,1743,entry,BNK3/2021/0127,online sync,,not_sent,,,
1,20816,entry,NOM/2024/0149,Nómina Junio 2024 - Fijo discontinuo,,not_sent,,,
1,17515,entry,EGF/2024/0013,404-6474789-5761906,,not_sent,,,
1,14494,entry,BNK2/2023/0663,PAY0052,05-2023,not_sent,,,
1,15170,entry,BNK4/2023/1371,,,not_sent,,,
1,1744,entry,BNK3/2021/0128,online sync,,not_sent,,,
1,2518,entry,BNK2/2021/0331,sincronizar en línea,,not_sent,,,
1,1745,entry,BNK3/2021/0129,online sync,,not_sent,,,
1,1746,entry,BNK3/2021/0130,online sync,,not_sent,,,
1,1747,entry,BNK3/2021/0131,online sync,,not_sent,,,
1,1750,entry,BNK3/2021/0134,online sync,,not_sent,,,
1,2283,entry,BNK2/2021/0172,sincronizar en línea,,not_sent,,,
1,15845,in_invoice,S/FRA/2023/1013,OO/2023/013,,sent,,"{
    ""IDVersionSii"": ""1.1"",
    ""Titular"": {
        ""NombreRazon"": ""FUNDACI\u00d3N \u00d3PERA DE OVIEDO"",
        ""NIF"": ""G33465790""
    },
    ""TipoComunicacion"": ""A0""
}","{
    ""IDFactura"": {
        ""IDEmisorFactura"": {
            ""NIF"": ""71880087G""
        },
        ""NumSerieFacturaEmisor"": ""OO/2023/013"",
        ""FechaExpedicionFacturaEmisor"": ""22-12-2023""
    },
    ""PeriodoLiquidacion"": {
        ""Ejercicio"": 2023,
        ""Periodo"": ""12""
    },
    ""FacturaRecibida"": {
        ""TipoFactura"": ""F1"",
        ""ClaveRegimenEspecialOTrascendencia"": ""01"",
        ""DescripcionOperacion"": ""/"",
        ""DesgloseFactura"": {
            ""DesgloseIVA"": {
                ""DetalleIVA"": [
                    {
                        ""TipoImpositivo"": ""21.0"",
                        ""BaseImponible"": 5087.14,
                        ""CuotaSoportada"": 1068.3
                    }
                ]
            }
        },
        ""Contraparte"": {
            ""NombreRazon"": ""ALICIA SUAREZ HULTON"",
            ""NIF"": ""71880087G""
        },
        ""FechaRegContable"": ""15-01-2024"",
        ""ImporteTotal"": 6155.44,
        ""CuotaDeducible"": 1068.3
    }
}"
1,13017,entry,BNK4/2023/0583,,,not_sent,,,
1,17461,entry,MISC/2023/0036,Traspaso Corto Plazo ICO Caja Rural 2023,,not_sent,,,
1,1751,entry,BNK3/2021/0135,online sync,,not_sent,,,
1,1752,entry,BNK3/2021/0136,online sync,,not_sent,,,
1,1753,entry,BNK3/2021/0137,online sync,,not_sent,,,
1,1754,entry,BNK3/2021/0138,online sync,,not_sent,,,
1,1755,entry,BNK3/2021/0139,online sync,,not_sent,,,
1,1756,entry,BNK3/2021/0140,online sync,,not_sent,,,
1,16472,entry,BNK2/2024/0149,,,not_sent,,,
1,10924,entry,/,Conmutadores HPE (7/8),,not_sent,,,
