move_id,name,ref,payment_reference,company_id,sii_state,src_state,aeat_send_error
15845,S/FRA/2023/1013,OO/2023/013,,1,sent,sent,
16640,S/FRA/2024/0081,FV21747,Mantenimiento Odoo,1,sent,sent,
18376,S/FRA/2024/0286,FV21838,Mantenimiento Odoo,1,sent,sent,
25444,/,,,1,not_sent,not_sent,
16085,S/FRA/2024/0011,FV21714,Mantenimiento Odoo,1,sent,sent,
18941,S/FRA/2024/0344,FV21894,Mantenimiento Odoo,1,sent,sent,
18889,S/FRA/2024/0353,FV21864,Mantenimiento Odoo,1,sent,sent,
23789,S/FRA/2025/0234,OVIE-250067,,1,sent,sent,
21148,S/FRA/2024/0800,FV21971,Mantenimiento Odoo,1,sent,sent,
19352,S/FRA/2024/0572,FV21919,Mantenimiento Odoo,1,sent,sent,
21125,S/FRA/2024/0775,1122-2024,,1,sent,sent,
19720,S/FRA/2024/0573,FV21945,Mantenimiento Odoo,1,sent,sent,
11387,S/FRA/2023/0267,211140030,,1,sent,sent,
11397,S/FRA/2023/0277,301210019,,1,sent,sent,
16546,S/FRA/2024/0108,2024000782,,1,sent,sent,
4034,S/FRA/2022/0151,BL7/2021/1/41650,,1,sent,sent,
4035,S/FRA/2022/0139,BL7/2021/1/40984,,1,sent,sent,
21446,S/FRA/2024/0900,FV22029,Mantenimiento Odoo,1,sent,sent,
21514,S/FRA/2024/0880,FA2400474,,1,sent,sent,
16013,S/FRA/2023/1133,BL7/2023/1/27196,,1,sent,sent,
16030,S/FRA/2023/1069,BL7/2023/19976,,1,sent,sent,
16011,S/FRA/2023/1074,BL7/2023/2/24344,,1,sent,sent,
19507,S/FRA/2024/0434,TB-2024-F 41,,1,sent,sent,
21642,S/FRA/2024/0919,F000101-658,,1,sent,sent,
21149,S/FRA/2024/0799,FV22000,Mantenimiento Odoo,1,sent,sent,
6387,S/FRA/2022/0377,000177,,1,sent,sent,
21672,S/FRA/2024/0909,6.891,,1,sent,sent,
19957,S/FRA/2024/0535,040/325993,,1,sent,sent,
23837,S/FRA/2025/0246,2025112,,1,sent,sent,
19786,S/FRA/2024/0481,24-78,,1,sent,sent,
20603,S/FRA/2024/0742,05/2024,,1,sent,sent,
20081,S/FRA/2024/0748,FA 242212,,1,sent,sent,
6396,S/FRA/2022/0370,30-0,,1,sent,sent,
22048,S/FRA/2024/0982,15/2024,,1,sent,sent,
19790,S/FRA/2024/0485,006/2024,,1,sent,sent,
20329,S/FRA/2024/0699,F139-2024,,1,sent,sent,
20672,S/FRA/2024/0733,A-V2024-00004747259,,1,sent,sent,
6401,S/FRA/2022/0374,I513502F0000065,,1,sent,sent,
19907,S/FRA/2024/0471,AF/2982/01,,1,sent,sent,
19673,S/FRA/2024/0464,1TSN240900061033,,1,sent,sent,
21515,S/FRA/2024/0879,FA2400475,,1,sent,sent,
319,S/FRA/2021/0237,1NSN210600037867,,1,not_sent,not_sent,
459,S/FRA/2021/0292,1NSN210700244183,,1,not_sent,not_sent,
17140,S/FRA/2024/0168,000038,,1,sent,sent,
20281,S/FRA/2024/0566,OO/2024/011,,1,sent,sent,
21516,S/FRA/2024/0876,FA2410806,,1,sent,sent,
19984,S/FRA/2024/0515,000223,,1,sent,sent,
18426,S/FRA/2024/0320,OO/2024/006,,1,sent,sent,
20400,S/FRA/2024/0661,A 240550,,1,sent,sent,
2893,S/FRA/2021/0553,RI 21000306,,1,sent,sent,
6372,S/FRA/2022/0403,A/2595/2022,,1,sent,sent,
19985,S/FRA/2024/0516,000224,,1,sent,sent,
16560,S/FRA/2024/0094,1TSN240100416616,,1,sent,sent,
21123,S/FRA/2024/0809,13-2024,,1,sent,sent,
25328,/,,,1,not_sent,not_sent,
20682,S/FRA/2024/0723,A-1554,,1,sent,sent,
22390,S/FRA/2024/1041,A10019352282-1224,,1,sent,sent,
6373,S/FRA/2022/0400,01/2022,,1,sent,sent,
19955,S/FRA/2024/0537,95-223304,,1,sent,sent,
86,S/FRA/2021/0064,N200255946,,1,not_sent,not_sent,
22119,S/FRA/2025/0004,ES546AABEY,,1,sent,sent,
2492,S/FRA/2021/0591,1NSN211000050878,,1,sent,sent,
21670,S/FRA/2024/0911,19-2024,,1,sent,sent,
22019,S/FRA/2024/0983,4,,1,sent,sent,
6376,S/FRA/2022/0409,7,,1,sent,sent,
20108,S/FRA/2024/0553,7/2024,,1,sent,sent,
20119,S/FRA/2024/0543,ES44FAUABEY,,1,sent,sent,
21517,S/FRA/2024/0875,FA2410807,,1,sent,sent,
6402,S/FRA/2022/0376,193,,1,sent,sent,
21539,S/FRA/2024/0872,5.402/F,,1,sent,sent,
21893,S/FRA/2024/0995,1/2024,,1,sent,sent,
20279,S/FRA/2024/0564,OO/2024/009,,1,sent,sent,
18994,S/FRA/2024/0342,1TSN240600240911,,1,sent,sent,
20570,S/FRA/2024/0709,312-KF24-11861,,1,sent,sent,
20569,S/FRA/2024/0708,A10019238361-1024,,1,sent,sent,
20280,S/FRA/2024/0565,OO/2024/010,,1,sent,sent,
20568,S/FRA/2024/0707,A10019201739-1024,,1,sent,sent,
17216,S/FRA/2024/0150,FMI/364,,1,sent,sent,
19934,S/FRA/2024/0493,26,,1,sent,sent,
17212,S/FRA/2024/0153,20953/2024,,1,sent,sent,
17217,S/FRA/2024/0149,L9550 / 1931,,1,sent,sent,
17221,S/FRA/2024/0147,L9700 / 14847,,1,sent,sent,
6365,S/FRA/2022/0387,FAC-1159,,1,sent,sent,
16535,S/FRA/2024/0119,157,,1,sent,sent,
22073,S/FRA/2024/1011,2024-387,,1,sent,sent,
19956,S/FRA/2024/0536,95-223619,,1,sent,sent,
6377,S/FRA/2022/0410,1 22 0005 0000507251,,1,sent,sent,
20669,S/FRA/2024/0736,95-224998,,1,sent,sent,
19880,S/FRA/2024/0500,F120-2024,,1,sent,sent,
21727,S/FRA/2024/0938,1,,1,sent,sent,
21461,S/FRA/2024/0890,000321,,1,sent,sent,
19808,S/FRA/2024/0503,ES44248ABEY,,1,sent,sent,
21460,S/FRA/2024/0891,000320,,1,sent,sent,
19569,S/FRA/2024/0446,ES43R2WABEY,,1,sent,sent,
22072,S/FRA/2024/1012,2024-408,,1,sent,sent,
23126,S/FRA/2025/0029,01/2025,,1,sent,sent,
23201,S/FRA/2025/0143,25/345,,1,sent,sent,
20408,S/FRA/2024/0675,2024-276,,1,sent,sent,
19636,S/FRA/2024/0466,B00054367,,1,sent,sent,
19620,S/FRA/2024/0441,A-1291,,1,sent,sent,
18295,S/FRA/2024/0268,1TSN240300408921,,1,sent,sent,
20022,S/FRA/2024/0662,A-1397,,1,sent,sent,
19521,S/FRA/2024/0448,A-1257,,1,sent,sent,
8438,S/FRA/2022/0758,FAC-1204,,1,sent,sent,
19313,S/FRA/2024/0436,1TSN240800070036,,1,sent,sent,
19218,S/FRA/2024/0397,A-1107,,1,sent,sent,
18205,S/FRA/2024/0288,A-485,,1,sent_modified,sent_modified,
21487,S/FRA/2024/0883,8.414,,1,sent,sent,
19597,S/FRA/2024/0450,FRO20241493539,,1,sent,sent,
19087,S/FRA/2024/0379,A-948,,1,sent,sent,
20214,S/FRA/2024/0548,1TSN241000069177,,1,sent,sent,
17317,S/FRA/2024/0183,A-328,,1,sent_modified,sent_modified,
8444,S/FRA/2022/0752,052-0008-774421,,1,sent,sent,
17307,S/FRA/2024/0184,1TSN240200381744,,1,sent,sent,
18668,S/FRA/2024/0346,A-796,,1,sent_modified,sent_modified,
13527,S/FRA/2023/0553,66/23,,1,sent,sent,
20073,S/FRA/2024/0560,24/560,,1,sent,sent,
16597,S/FRA/2024/0087,A-190,,1,sent_modified,sent_modified,
14450,S/FRA/2023/0791,AU20230323ZKY000198,NEXT,1,not_sent,not_sent,3000 | Factura duplicada
18858,S/FRA/2024/0321,OO/2024/007,,1,sent,sent,
21453,S/FRA/2024/0898,FRO20242021721,,1,sent,sent,
15963,S/FRA/2024/0003,A-33,,1,sent_modified,sent_modified,
18857,S/FRA/2024/0319,OO/2024/005,,1,sent,sent,
19007,S/FRA/2024/0373,A10018899833-0624,,1,sent,sent,
18459,S/FRA/2024/0305,1TSN240500057228,,1,sent,sent,
23792,S/FRA/2025/0233,164709,,1,sent,sent,
8445,S/FRA/2022/0751,220006231,,1,sent,sent,
19431,S/FRA/2024/0409,14/2024,,1,sent,sent,
3885,S/FRA/2022/0180,4TM113549,,1,sent,sent,
18242,S/FRA/2024/0256,OO/2024/003,,1,sent,sent,
4090,/,,,1,not_sent,not_sent,
9322,/,A2209307,,1,sent_modified,sent_modified,
17492,/,AF/0001/01,,1,sent_w_errors,sent_w_errors,2024 | El valor de ImporteTotal no coincide con el sumatorio de Bas
19599,S/FRA/2024/0439,2024000608,,1,sent,sent,
9473,S/FRA/2023/0037,4TM00116076,,1,sent,sent,
10551,S/FRA/2023/0123,10206,,1,sent,sent,
3934,S/FRA/2022/0025,2567,,1,sent,sent,
18996,S/FRA/2024/0340,1TSN240600426783,,1,sent,sent,
19351,S/FRA/2024/0426,1TSN240800080166,,1,sent,sent,
18364,S/FRA/2024/0291,A-643,,1,sent_modified,sent_modified,
18727,S/FRA/2024/0313,90-2024,,1,sent,sent,
21964,S/FRA/2024/0975,FO4/2097,,1,sent,sent,
23477,S/FRA/2025/0203,024-022,,1,sent,sent,
21480,S/FRA/2024/0885,124,,1,sent,sent,
19860,S/FRA/2024/0507,312-KF24-10581,,1,sent,sent,
14408,S/FRA/2023/0794,FA-08182023-2,NEXT,1,not_sent,not_sent,3000 | Factura duplicada
18241,S/FRA/2024/0255,OO/2024/002,,1,sent,sent,
6748,S/FRA/2022/0514,61134525,,1,sent,sent,
21384,S/FRA/2024/0835,24-0043,,1,sent,sent,
9082,S/FRA/2022/0955,TRK-22-0695,,1,sent,sent,
18278,/,33112023002878,,1,sent_w_errors,sent_w_errors,2024 | El valor de ImporteTotal no coincide con el sumatorio de Bas
19081,S/FRA/2024/0385,A2404287,,1,sent,sent,
21812,S/FRA/2024/0942,02 2024 FGL,,1,sent,sent,
21424,S/FRA/2024/0836,8.348,,1,sent,sent,
19807,S/FRA/2024/0474,03/2024,,1,sent,sent,
18186,S/FRA/2024/0247,M240022148,,1,sent,sent,
17241,S/FRA/2024/0193,F240034814,,1,sent,sent,
19617,S/FRA/2024/0440,2024000836,,1,sent,sent,
23820,S/FRA/2025/0245,4/2025,,1,sent,sent,
9480,S/FRA/2023/0047,TRK-23-0044,,1,sent,sent,
21481,S/FRA/2024/0884,1,,1,sent,sent,
19990,S/FRA/2024/0518,S240103624,,1,sent,sent,
19008,S/FRA/2024/0372,A10018937272-0624,,1,sent,sent,
21451,S/FRA/2024/0860,107/EST,,1,sent,sent,
21512,S/FRA/2024/0979,FA 242822,,1,sent,sent,
9251,S/FRA/2022/1018,CIND/66760,,1,sent,sent,
9253,S/FRA/2022/1016,244,,1,sent,sent,
19567,S/FRA/2024/0443,3.519 / F,,1,sent,sent,
21399,S/FRA/2024/0980,240187,,1,sent_modified,sent_modified,
9255,S/FRA/2022/1014,4728,,1,sent,sent,
23311,S/FRA/2025/0138,25/1,,1,sent,sent,
9481,S/FRA/2023/0050,TRK-23-0045,,1,sent,sent,
9482,S/FRA/2023/0048,TRK-23-0046,,1,sent,sent,
21425,S/FRA/2024/0931,A-1724,,1,sent,sent,
21917,S/FRA/2024/0961,2024001156,,1,sent,sent,
24441,S/FRA/2025/0322,T/884/2025,,1,sent,sent,
21967,S/FRA/2024/0959,AF/1363/02,,1,sent,sent,
23990,S/FRA/2025/0295,000121,,1,sent,sent,
9483,S/FRA/2023/0043,TRK-23-0047,,1,sent,sent,
19469,S/FRA/2024/0428,G240057083,,1,sent,sent,
21357,S/FRA/2024/0824,AF/1423/01,,1,sent,sent,
23196,S/FRA/2025/0110,84-2025,,1,sent,sent,
22010,S/FRA/2024/0989,09,,1,sent,sent,
21879,S/FRA/2024/1002,05/2024,,1,sent,sent,
21329,S/FRA/2024/0852,8.256,,1,sent,sent,
21886,S/FRA/2024/0997,2076,,1,sent,sent,
6392,S/FRA/2022/0364,A/14323,,1,sent,sent,
143,S/FRA/2021/0191,FF21C00074,,1,not_sent,not_sent,
9484,S/FRA/2023/0046,TRK-23-0048,,1,sent,sent,
1611,S/FRA/2021/0589,I0-000003,,1,sent,sent,
16505,S/FRA/2024/0134,E240045783,,1,sent,sent,
19184,S/FRA/2024/0391,L240057852,,1,sent,sent,
22196,S/FRA/2025/0016,20250016,,1,sent,sent,
18997,S/FRA/2024/0352,J240070428,,1,sent,sent,
7026,S/FRA/2022/0600,FRO20221600895,,1,sent,sent,
14436,S/FRA/2023/0779,FRO20221588426,,1,not_sent,not_sent,3000 | Factura duplicada
9119,S/FRA/2022/0962,529950,,1,sent,sent,
188,S/FRA/2021/0171,21/13,,1,not_sent,not_sent,
24354,S/FRA/2025/0336,FM25-1093,,1,sent,sent,
190,S/FRA/2021/0173,21/11,,1,not_sent,not_sent,
5912,S/FRA/2022/0292,000018,,1,sent,sent,
5885,S/FRA/2022/0296,000164,,1,sent,sent,
5948,S/FRA/2022/0304,I830-02-00082,,1,sent,sent,
23321,S/FRA/2025/0136,2025000095,,1,sent,sent,
20678,S/FRA/2024/0727,TB081920,,1,sent,sent,
17380,S/FRA/2024/0199,A10018674075-0324,,1,sent,sent,
5926,S/FRA/2022/0344,000422,,1,sent,sent,
191,S/FRA/2021/0169,21/17,,1,not_sent,not_sent,
22049,S/FRA/2024/0981,1/2024,,1,sent,sent,
20075,S/FRA/2024/0563,24/562,,1,sent,sent,
18331,S/FRA/2024/0277,A240102987,,1,sent,sent,
19078,S/FRA/2024/0387,Y240102804,,1,sent,sent,
19858,S/FRA/2024/0508,A10019163455-0924,,1,sent,sent,
25238,S/FRA/2025/0463,14/2025,,1,not_sent,not_sent,
19404,S/FRA/2024/0421,312-KF24-9305,,1,sent,sent,
19011,S/FRA/2024/0359,A10019012678-0724,,1,sent,sent,
25237,S/FRA/2025/0464,13/2025,,1,not_sent,not_sent,
19402,S/FRA/2024/0419,A10019088217-0824,,1,sent,sent,
19403,S/FRA/2024/0420,A10019051455-0824,,1,sent,sent,
19010,S/FRA/2024/0360,A10018976064-0724,,1,sent,sent,
19145,S/FRA/2024/0392,312-KF24-8074,,1,sent,sent,
19002,S/FRA/2024/0364,A10018786535-0424,,1,sent,sent,
19009,S/FRA/2024/0361,312-KF24-6780,,1,sent,sent,
19004,S/FRA/2024/0362,A10018824298-0524,,1,sent,sent,
17142,S/FRA/2024/0167,312-KF24-1629,,1,sent,sent,
19006,S/FRA/2024/0374,312-KF24-5538,,1,sent,sent,
19005,S/FRA/2024/0375,A10018861470-0524,,1,sent,sent,
19003,S/FRA/2024/0363,312-KF24-4233,,1,sent,sent,
18888,S/FRA/2024/0345,202406162,,1,sent,sent,
23084,S/FRA/2025/0048,F012-2025,,1,sent,sent,
19001,S/FRA/2024/0365,A10018749049-0424,,1,sent,sent,
24376,S/FRA/2025/0333,635-2025,,1,sent,sent,
17497,S/FRA/2024/0216,312-KF24-2850,,1,sent,sent,
18243,S/FRA/2024/0257,OO/2024/004,,1,sent,sent,
16207,S/FRA/2024/0010,A10018559142-0124,,1,sent,sent,
17381,S/FRA/2024/0198,A10018710694-0324,,1,sent,sent,
16206,S/FRA/2024/0012,A10018522218-0124,,1,sent,sent,
16682,S/FRA/2024/0057,A10018635418-0224,,1,sent,sent,
16681,S/FRA/2024/0058,A10018597272-0224,,1,sent,sent,
82,S/FRA/2021/0059,H2247/0001,,1,not_sent,not_sent,
20505,S/FRA/2024/0701,2024-298,,1,sent,sent,
180,S/FRA/2021/0112,21/161,,1,not_sent,not_sent,
223,S/FRA/2021/0120,A2102092,,1,not_sent,not_sent,
261,S/FRA/2021/0159,2021 - 001,,1,not_sent,not_sent,
328,S/FRA/2021/0246,FAO211220,,1,not_sent,not_sent,
19596,S/FRA/2024/0451,A2406120,,1,sent,sent,
18815,S/FRA/2024/0326,A2404048,,1,sent,sent,
