move_id,name,ref,payment_reference,company_id,sii_state,src_state,aeat_send_error
623,C/2021/0002,C2,C/2021/0002,1,not_sent,not_sent,
2591,C/2021/0007,C7,C/2021/0007,1,sent,sent,
11629,A/2023/0007,A07 A B007,A/2023/0007,1,not_sent,not_sent,
13853,A/2023/0009,,A/2023/0009,1,not_sent,not_sent,
17184,T/2024/0001,,T/2024/0001,1,sent,sent,
13257,C/2023/0010,,C/2023/0010,1,sent,sent,
11622,A/2023/0006,A06 A B006,A/2023/0006,1,not_sent,not_sent,"1329 | Cuando el tipo de factura es F2, la suma de las bases imponi"
3893,C/2022/0003,C3,C/2022/0003,1,sent,sent,
9041,C/2022/0007,C7,C/2022/0007,1,sent,sent,
13854,A/2023/0010,,A/2023/0010,1,not_sent,not_sent,
10619,C/2023/0001,C1,C/2023/0001,1,sent,sent,
20489,C/2024/0015,,C/2024/0015,1,sent,sent,
20488,J/2024/0035,,J/2024/0035,1,sent,sent,
10370,T/2023/0002,T2,T/2023/0002,1,sent,sent,
15292,C/2023/0017,,C/2023/0017,1,sent,sent,
15290,J/2023/0034,,J/2023/0034,1,sent,sent,
16598,C/2024/0001,,C/2024/0001,1,sent,sent,
9508,J/2023/0003,J3,J/2023/0003,1,sent,sent,
7733,J/2022/0012,J12,J/2022/0012,1,sent,sent,
9123,A/2022/0017,A17 A B017,A/2022/0017,1,not_sent,not_sent,
15106,J/2023/0029,,J/2023/0029,1,sent,sent,
15105,J/2023/0028,,J/2023/0028,1,sent,sent,
9102,C/2022/0008,C8,C/2022/0008,1,sent,sent,
3020,A/2021/0016,A11 A B011,A/2021/0011,1,not_sent,not_sent,
794,A/2021/0021,A05 A B005,A/2021/0005,1,not_sent,not_sent,
3419,A/2021/0025,A13 A B013,A/2021/0025,1,not_sent,not_sent,
792,A/2021/0019,A03 A B003,A/2021/0003,1,not_sent,not_sent,
3865,A/2021/0026,A14 A B014,A/2021/0026,1,not_sent,not_sent,
8239,A/2022/0008,A08 A B008,A/2022/0008,1,not_sent,not_sent,"1329 | Cuando el tipo de factura es F2, la suma de las bases imponi"
621,A/2021/0018,A02 a B002,A/2021/0002,1,not_sent,not_sent,
3867,A/2021/0027,A15 A B015,A/2021/0027,1,not_sent,not_sent,
13718,J/2023/0020,,J/2023/0020,1,sent_modified,sent_modified,
